17456, 1
1, 14615
14786, 2
2, 7206
6470, 3
12598, 3
3, 12711
11668, 4
4, 10272
5571, 5
5, 5958
15888, 6
6, 6021
6613, 7
7, 12468
14102, 8
6661, 8
8, 11111
13142, 9
5667, 9
9, 5967
16089, 10
13751, 10
9053, 10
10, 7649
12317, 11
11, 18087
13932, 12
12, 7758
10244, 13
13, 7482
8206, 14
14, 16749
13975, 15
15, 8604
16230, 16
16, 8478
10730, 17
17, 11824
10974, 18
18, 14918
13134, 19
19, 9817
6813, 20
20, 17942
5326, 21
21, 11649
7444, 22
22, 15749
22, 17137
22, 17560
22, 9197
22, 13305
22, 14712
9953, 23
23, 13304
17232, 24
24, 6013
17282, 25
25, 11916
11463, 26
26, 11782
14301, 27
27, 7867
7500, 28
28, 12512
14712, 29
29, 14695
29, 18270
11630, 30
11070, 30
12185, 30
30, 5859
15222, 31
31, 7056
18076, 32
7310, 32
32, 7993
16159, 33
33, 12115
12391, 34
34, 17356
7543, 35
35, 11070
11038, 36
36, 14691
7773, 37
37, 9991
9372, 38
16468, 38
38, 16965
6745, 39
7621, 39
17316, 39
7520, 39
6602, 39
16879, 39
39, 5410
5371, 40
12818, 40
7652, 40
6285, 40
13691, 40
13998, 40
8588, 40
14013, 40
5261, 40
10340, 40
10007, 40
9710, 40
8898, 40
17715, 40
14797, 40
17831, 40
8457, 40
12218, 40
13185, 40
5278, 40
6838, 40
17941, 40
9380, 40
17937, 40
8226, 40
5940, 40
17908, 40
15831, 40
14755, 40
7396, 40
8996, 40
7537, 40
8025, 40
13700, 40
7983, 40
40, 8478
7969, 41
41, 5977
6214, 42
42, 12987
16429, 43
16086, 43
9083, 43
11433, 43
17345, 43
10708, 43
6851, 43
13716, 43
13255, 43
43, 8448
43, 15570
9315, 44
44, 5145
15480, 45
7560, 45
5218, 45
8320, 45
45, 15974
11808, 46
46, 11236
13139, 47
15700, 47
47, 6422
16944, 48
48, 16849
10963, 49
6872, 49
10066, 49
14422, 49
9059, 49
17983, 49
7547, 49
15309, 49
10516, 49
9077, 49
16365, 49
18371, 49
6231, 49
8275, 49
12997, 49
16235, 49
13882, 49
9345, 49
18113, 49
17535, 49
8084, 49
11157, 49
7653, 49
17579, 49
12669, 49
10025, 49
15587, 49
17015, 49
12495, 49
6210, 49
17389, 49
13572, 49
12958, 49
15476, 49
10947, 49
6590, 49
6242, 49
16013, 49
7714, 49
11975, 49
12728, 49
8567, 49
12693, 49
18035, 49
14023, 49
12948, 49
17470, 49
15000, 49
18330, 49
8187, 49
16673, 49
12674, 49
17649, 49
11828, 49
11320, 49
11661, 49
